initialization,feature_dim,mean_seconds,std_seconds
degree_bins,6,0.42073602974414825,0.0016412251680123244
wl_roles,32,0.7166691102708379,0.0625957710614091
original,3,0.8649392224227389,0.202621718580302
degree,1,1.0463254190981388,0.11089578694109849
degree_clustering,2,1.1972334735716383,0.06066383434021704
spectral,4,2.5125246876850724,0.01569970184574864
centrality_bundle,6,3.834536142026385,0.004571312771858888
original_plus_structure,9,4.429426549002528,0.0060769471803260085
structure_plus_spectral,10,6.7271676653375225,0.0922748082789209
