model,initialization,mean_acc,std_acc
GCN,original,0.2833333333333333,0.006804138174397715
GCN,constant,0.19444444444444445,0.027498597046143523
GCN,random,0.18333333333333335,0.03535533905932738
GCN,degree,0.25833333333333336,0.024532669073132916
GCN,degree_clustering,0.17777777777777778,0.014163943093313296
GIN,original,0.3333333333333333,0.037883838047182934
GIN,constant,0.25,0.01360827634879543
GIN,random,0.13888888888888887,0.01571348402636772
GIN,degree,0.19444444444444445,0.03215510250775063
GIN,degree_clustering,0.24166666666666667,0.018002057495577393
GraphSAGE,original,0.2638888888888889,0.02832788618662659
GraphSAGE,constant,0.16944444444444443,0.010393492741038724
GraphSAGE,random,0.15555555555555556,0.02389534796400729
GraphSAGE,degree,0.25,0.04082482904638629
GraphSAGE,degree_clustering,0.22222222222222224,0.014163943093313288
